SpeciesCode,ScientificName,CommonName,Tree Type,SppValueAssignment,Species Rating (%),Basic Price ($/sq in),Palm Trunk Cost($/ft),Replacement Cost ($),TAr (sq Inches),region
LISP,Ligustrum spp,Privet,BES,ILOP,90,66,0,530,7.0650048828125,PiedmtCLT
LIST,Liquidambar styraciflua,Sweetgum,BDL,LIST,57,66,0,530,7.0650048828125,PiedmtCLT
LITU,Liriodendron tulipifera,Tulip tree,BDL,BDL OTHER,80,66,0,530,7.0650048828125,PiedmtCLT
MA1,Magnolia spp,Magnolia,BDM,BDM OTHER,75,66,0,530,7.0650048828125,PiedmtCLT
MA2,Malus spp,Apple,BDS,MA2,70,66,0,530,7.0650048828125,PiedmtCLT
MAAC,Magnolia acuminata,Cucumber tree,BDL,BDL OTHER,70,66,0,530,7.0650048828125,PiedmtCLT
MABE,Mahonia bealei,Leatherleaf mahonia,BES,BES OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
MAGR,Magnolia grandiflora,Southern magnolia,BEM,MAGR,90,66,0,530,7.0650048828125,PiedmtCLT
MAPO,Maclura pomifera,Osage orange,BDM,BDM OTHER,35,66,0,530,7.0650048828125,PiedmtCLT
MASO,Magnolia x soulangiana,Chinese magnolia; Saucer magnolia,BDS,BDS OTHER,70,66,0,530,7.0650048828125,PiedmtCLT
MAST,Magnolia stellata,Star magnolia,BDS,BDS OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
MASY2,Malus sylvestris,Paradise apple,BDS,BDS OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
MATS,Malus tschonoskii,Crabapple,BDS,BDS OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
MAVI,Magnolia virginiana,Sweetbay,BEM,BEM OTHER,75,66,0,530,7.0650048828125,PiedmtCLT
MEAZ,Melia azedarach,Chinaberry,BDM,BDM OTHER,20,66,0,530,7.0650048828125,PiedmtCLT
MEGL,Metasequoia glyptostroboides,Dawn redwood,BDL,BDL OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
MO,Morus spp,Mulberry,BDM,BDM OTHER,45,66,0,530,7.0650048828125,PiedmtCLT
MORU,Morus rubra,Red mulberry,BDL,BDL OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
MYCE,Myrica cerifera,Southern bayberry,BES,BES OTHER,82,66,0,530,7.0650048828125,PiedmtCLT
NYSY,Nyssa sylvatica,Black tupelo,BDM,BDM OTHER,85,66,0,530,7.0650048828125,PiedmtCLT
OSVI,Ostrya virginiana,Eastern hophornbeam,BDM,BDM OTHER,80,66,0,530,7.0650048828125,PiedmtCLT
PATO,Paulownia tomentosa,Royal paulownia,BDM,BDM OTHER,60,66,0,530,7.0650048828125,PiedmtCLT
PHAM,Phellodendron amurense,Amur corktree,BDM,BDM OTHER,75,66,0,530,7.0650048828125,PiedmtCLT
PHDA4,Phoenix dactylifera,Date palm,PEL,PHDA4,70,0,170,3825,15,PiedmtCLT
PHFR,Photinia xfraseri,Fraser photinia,BES,BES OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
PHSP2,Photinia spp,Chokeberry,BES,BES OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
PI1,Picea spp,Spruce,CEM,CEM OTHER,70,66,0,530,7.0650048828125,PiedmtCLT
PI2,Pinus spp,Pine,CEL,CEL OTHER,60,66,0,530,7.0650048828125,PiedmtCLT
PIAB,Picea abies,Norway spruce,CEL,CEL OTHER,60,66,0,530,7.0650048828125,PiedmtCLT
PICH,Pistacia chinensis,Chinese pistache,BDM,BDM OTHER,80,66,0,530,7.0650048828125,PiedmtCLT
PICO5,Pinus contorta var. bolanderi,Bolander beach pine,CES,PICO5,70,66,0,530,7.0650048828125,PiedmtCLT
PICO6,Pinus contorta var. latifolia,Tall lodgepole pine,CEL,CEL OTHER,60,66,0,530,7.0650048828125,PiedmtCLT
PIEC,Pinus echinata,Shortleaf pine,CEL,PIEC,60,66,0,530,7.0650048828125,PiedmtCLT
PIGL1,Picea glauca,White spruce,CEM,CEM OTHER,40,66,0,530,7.0650048828125,PiedmtCLT
PIMU,Pinus mugo,Sweet mountain pine,CES,CES OTHER,50,66,0,530,7.0650048828125,PiedmtCLT
PINI,Pinus nigra,Austrian pine,CEM,CEM OTHER,60,66,0,530,7.0650048828125,PiedmtCLT
PIPA,Pinus palustris,Longleaf pine,CEL,CEL OTHER,55,66,0,530,7.0650048828125,PiedmtCLT
PIPU,Picea pungens,Blue spruce,CEM,CEM OTHER,37,66,0,530,7.0650048828125,PiedmtCLT
PIRE,Pinus resinosa,Red pine,CEL,CEL OTHER,60,66,0,530,7.0650048828125,PiedmtCLT
PIST,Pinus strobus,Eastern white pine,CEL,CEL OTHER,50,66,0,530,7.0650048828125,PiedmtCLT
PISY,Pinus sylvestris,Scotch pine,CEM,CEM OTHER,70,66,0,530,7.0650048828125,PiedmtCLT
PITA,Pinus taeda,Loblolly pine,CEL,PITA,70,66,0,530,7.0650048828125,PiedmtCLT
PIVI,Pinus virginiana,Virginia pine,CEM,CEM OTHER,60,66,0,530,7.0650048828125,PiedmtCLT
PLAC,Platanus acerifolia,London planetree,BDL,BDL OTHER,50,66,0,530,7.0650048828125,PiedmtCLT
PLOC,Platanus occidentalis,American sycamore,BDL,BDL OTHER,50,66,0,530,7.0650048828125,PiedmtCLT
POAL,Populus alba,White poplar,BDL,BDL OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
POBA,Populus balsamifera,Balsam poplar,BDL,BDL OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
PODE,Populus deltoides,Eastern cottonwood,BDL,BDL OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
PONI,Populus nigra,Black poplar,BDM,BDM OTHER,75,66,0,530,7.0650048828125,PiedmtCLT
PR,Prunus spp,Plum,BDS,PR,50,66,0,530,7.0650048828125,PiedmtCLT
PRCA,Prunus caroliniana,Carolina laurelcherry,BES,BES OTHER,65,66,0,530,7.0650048828125,PiedmtCLT
PRCA2,Prunus campanulata,Taiwan cherry,BDS,BDS OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
PRCE,Prunus cerasifera,Cherry plum,BDS,BDS OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
PRPA,Prunus padus,European bird cherry,BDM,BDM OTHER,75,66,0,530,7.0650048828125,PiedmtCLT
PRPE2,Prunus persica,Peach,BDS,BDS OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
PRSE1,Prunus serotina,Black cherry,BDL,BDL OTHER,40,66,0,530,7.0650048828125,PiedmtCLT
PRSE2,Prunus serrulata,Kwanzan cherry,BDS,BDS OTHER,50,66,0,530,7.0650048828125,PiedmtCLT
PRSU,Prunus subhirtella ,Higan cherry,BDS,BDS OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
PRTO,Prunus tomentosa,Manchu cherry,BDS,BDS OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
PRYE,Prunus yedoensis,Yoshino flowering cherry,BDS,PRYE,50,66,0,530,7.0650048828125,PiedmtCLT
PSME,Pseudotsuga menziesii,Douglas fir,CEL,CEL OTHER,60,66,0,530,7.0650048828125,PiedmtCLT
PY,Pyrus spp,Pear,BDS,PYCA,65,66,0,530,7.0650048828125,PiedmtCLT
PYCA,Pyrus calleryana,Callery pear,BDS,PYCA,65,66,0,530,7.0650048828125,PiedmtCLT
PYCO,Pyrus communis,Common pear,BDM,BDM OTHER,75,66,0,530,7.0650048828125,PiedmtCLT
PYKO,Pyracantha koidzumii,Formosa firethorn,BES,BES OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
PYSP,Pyracantha spp,Firethorn,BES,BES OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
QUAC,Quercus acutissima,Sawtooth oak,BDM,BDM OTHER,80,66,0,530,7.0650048828125,PiedmtCLT
QUAL,Quercus alba,White oak,BDL,QUAL,92,66,0,530,7.0650048828125,PiedmtCLT
QUBI,Quercus bicolor,Swamp white oak,BDL,BDL OTHER,80,66,0,530,7.0650048828125,PiedmtCLT
QUCO,Quercus coccinea,Scarlet oak,BDL,BDL OTHER,65,66,0,530,7.0650048828125,PiedmtCLT
QUEL,Quercus ellipsoidalis,Northern pin oak,BDL,BDL OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
QUFA,Quercus falcata,Southern red oak,BDL,BDL OTHER,72,66,0,530,7.0650048828125,PiedmtCLT
QUHE,Quercus hemisphaerica,Darlington oak,BEM,BEM OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
QUIM,Quercus imbricaria,Shingle oak,BDL,BDL OTHER,50,66,0,530,7.0650048828125,PiedmtCLT
QULY,Quercus lyrata,Overcup oak,BDM,BDM OTHER,80,66,0,530,7.0650048828125,PiedmtCLT
QUMA1,Quercus macrocarpa,Bur oak,BDL,BDL OTHER,80,66,0,530,7.0650048828125,PiedmtCLT
QUMA2,Quercus marilandica,Blackjack oak,BDM,BDM OTHER,75,66,0,530,7.0650048828125,PiedmtCLT
QUMI,Quercus michauxii,Swamp chestnut oak,BDL,BDL OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
QUMU,Quercus muehlenbergii,Chinkapin oak,BDM,BDM OTHER,60,66,0,530,7.0650048828125,PiedmtCLT
QUNI,Quercus nigra,Water oak,BDL,QUNI,67,66,0,530,7.0650048828125,PiedmtCLT
QUPA,Quercus palustris,Pin oak,BDL,BDL OTHER,50,66,0,530,7.0650048828125,PiedmtCLT
QUPH,Quercus phellos,Willow oak,BDL,QUPH,90,66,0,530,7.0650048828125,PiedmtCLT
QURO,Quercus robur,English oak,BDL,BDL OTHER,70,66,0,530,7.0650048828125,PiedmtCLT
QURU,Quercus rubra,Northern red oak,BDL,QURU,60,66,0,530,7.0650048828125,PiedmtCLT
QUSH,Quercus shumardii,Shumard oak,BDL,BDL OTHER,75,66,0,530,7.0650048828125,PiedmtCLT
QUST,Quercus stellata,Post oak,BDL,BDL OTHER,70,66,0,530,7.0650048828125,PiedmtCLT
QUVE,Quercus velutina,Black oak,BDL,BDL OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
QUVI,Quercus virginiana,Live oak,BEL,BEL OTHER,70,66,0,530,7.0650048828125,PiedmtCLT
RHSP,Rhus spp,Sumac,BDS,BDS OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
RHSP2,Rhamnus spp,Buckthorn,BDS,BDS OTHER,22,66,0,530,7.0650048828125,PiedmtCLT
ROBA,Rosa banksiae,Banksian rose; Lady Bank's rose,BDS,BDS OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
ROPS,Robinia pseudoacacia,Black locust,BDM,BDM OTHER,45,66,0,530,7.0650048828125,PiedmtCLT
SA,Salix spp,Willow  ,BDM,BDM OTHER,40,66,0,530,7.0650048828125,PiedmtCLT
SAAL,Sassafras albidum,Sassafras,BDM,BDM OTHER,70,66,0,530,7.0650048828125,PiedmtCLT
